model,item,llm_judge_score,response_length,human_score
gemma-2-9b,item_76,5,184,
gemma-2-9b,item_77,3,151,
gemma-2-9b,item_78,4,95,
gemma-2-9b,item_79,4,133,3.0
gemma-2-9b,item_80,4,182,
gemma-2-9b,item_81,4,149,
gemma-2-9b,item_82,4,150,
gemma-2-9b,item_83,4,128,3.0
gemma-2-9b,item_84,3,170,
gemma-2-9b,item_85,4,113,
gemma-2-9b,item_86,4,141,
gemma-2-9b,item_87,3,173,
gemma-2-9b,item_88,3,138,
gemma-2-9b,item_89,3,178,
gemma-2-9b,item_90,5,185,
gemma-2-9b,item_91,4,155,
gemma-2-9b,item_92,4,123,
gemma-2-9b,item_93,3,128,
gemma-2-9b,item_94,4,136,
gemma-2-9b,item_95,4,100,3.0
gemma-2-9b,item_96,3,180,
gemma-2-9b,item_97,3,102,
gemma-2-9b,item_98,4,87,3.0
gemma-2-9b,item_99,3,151,
gemma-2-9b,item_100,5,162,
gemma-2-9b,item_101,4,155,3.0
gemma-2-9b,item_102,4,149,
gemma-2-9b,item_103,4,168,3.0
gemma-2-9b,item_104,5,169,
gemma-2-9b,item_105,4,154,3.0
gemma-2-9b,item_106,3,126,3.0
gemma-2-9b,item_107,4,139,
gemma-2-9b,item_108,2,151,
gemma-2-9b,item_109,5,129,
gemma-2-9b,item_110,3,154,
gemma-2-9b,item_111,3,117,
gemma-2-9b,item_112,5,170,
gemma-2-9b,item_113,4,170,
gemma-2-9b,item_114,3,177,1.0
gemma-2-9b,item_115,4,153,
gemma-2-9b,item_116,4,140,
gemma-2-9b,item_117,5,135,
gemma-2-9b,item_118,4,179,4.0
gemma-2-9b,item_119,2,148,1.0
gemma-2-9b,item_120,4,175,
gemma-2-9b,item_121,3,192,
gemma-2-9b,item_122,5,104,
gemma-2-9b,item_123,3,148,
gemma-2-9b,item_124,4,137,
gemma-2-9b,item_125,4,102,
gemma-2-9b,item_126,4,198,
gemma-2-9b,item_127,4,121,
gemma-2-9b,item_128,4,121,
gemma-2-9b,item_129,4,154,
gemma-2-9b,item_130,4,152,3.0
gemma-2-9b,item_131,3,127,
gemma-2-9b,item_132,3,102,
gemma-2-9b,item_133,3,87,
gemma-2-9b,item_134,4,160,
gemma-2-9b,item_135,3,116,
gemma-2-9b,item_136,4,140,
gemma-2-9b,item_137,3,146,
gemma-2-9b,item_138,5,134,
gemma-2-9b,item_139,3,135,
gemma-2-9b,item_140,5,114,3.0
gemma-2-9b,item_141,3,158,
gemma-2-9b,item_142,4,138,
gemma-2-9b,item_143,3,164,
gemma-2-9b,item_144,4,141,
gemma-2-9b,item_145,2,124,1.0
gemma-2-9b,item_146,4,134,
gemma-2-9b,item_147,4,158,3.0
gemma-2-9b,item_148,3,137,
gemma-2-9b,item_149,4,115,
gemma-2-9b,item_150,4,147,
gemma-2-9b,item_151,5,110,
gemma-2-9b,item_152,4,136,
gemma-2-9b,item_153,3,169,
gemma-2-9b,item_154,3,136,
gemma-2-9b,item_155,4,183,
gemma-2-9b,item_156,5,139,
gemma-2-9b,item_157,5,157,
gemma-2-9b,item_158,4,170,
gemma-2-9b,item_159,2,162,
gemma-2-9b,item_160,4,134,3.0
gemma-2-9b,item_161,4,142,
gemma-2-9b,item_162,3,132,
gemma-2-9b,item_163,4,189,
gemma-2-9b,item_164,3,218,
gemma-2-9b,item_165,5,147,
gemma-2-9b,item_166,3,120,3.0
gemma-2-9b,item_167,4,179,3.0
gemma-2-9b,item_168,4,81,
gemma-2-9b,item_169,4,148,
gemma-2-9b,item_170,3,147,
gemma-2-9b,item_171,3,147,
gemma-2-9b,item_172,4,188,2.0
gemma-2-9b,item_173,4,160,
gemma-2-9b,item_174,3,115,3.0
gemma-2-9b,item_175,4,133,
gemma-2-9b,item_176,4,146,2.0
gemma-2-9b,item_177,4,149,3.0
gemma-2-9b,item_178,5,129,
gemma-2-9b,item_179,4,120,
gemma-2-9b,item_180,4,98,
gemma-2-9b,item_181,3,117,
gemma-2-9b,item_182,4,137,
gemma-2-9b,item_183,4,143,
gemma-2-9b,item_184,4,165,
gemma-2-9b,item_185,5,134,
gemma-2-9b,item_186,3,174,
gemma-2-9b,item_187,3,127,
gemma-2-9b,item_188,4,153,
gemma-2-9b,item_189,3,144,
gemma-2-9b,item_190,3,138,
gemma-2-9b,item_191,3,186,
gemma-2-9b,item_192,4,124,
gemma-2-9b,item_193,4,163,
gemma-2-9b,item_194,4,155,3.0
gemma-2-9b,item_195,3,158,
gemma-2-9b,item_196,3,168,
gemma-2-9b,item_197,3,154,
gemma-2-9b,item_198,5,167,
gemma-2-9b,item_199,4,131,2.0
gemma-2-9b,item_200,4,117,
llama-3.1-8b,item_1,2,270,
llama-3.1-8b,item_2,3,310,
llama-3.1-8b,item_3,3,272,
llama-3.1-8b,item_4,4,252,3.0
llama-3.1-8b,item_5,3,288,
llama-3.1-8b,item_6,3,279,
llama-3.1-8b,item_7,4,316,
llama-3.1-8b,item_8,4,324,
llama-3.1-8b,item_9,2,296,
llama-3.1-8b,item_10,3,329,
llama-3.1-8b,item_11,3,293,
llama-3.1-8b,item_12,4,278,
llama-3.1-8b,item_13,4,280,
llama-3.1-8b,item_14,4,287,
llama-3.1-8b,item_15,3,307,
llama-3.1-8b,item_16,3,277,
llama-3.1-8b,item_17,3,255,3.0
llama-3.1-8b,item_18,4,293,
llama-3.1-8b,item_19,3,301,3.0
llama-3.1-8b,item_20,3,305,3.0
llama-3.1-8b,item_21,4,267,
llama-3.1-8b,item_22,5,296,
llama-3.1-8b,item_23,4,266,
llama-3.1-8b,item_24,3,267,
llama-3.1-8b,item_25,3,277,3.0
llama-3.1-8b,item_26,4,330,
llama-3.1-8b,item_27,3,293,
llama-3.1-8b,item_28,4,299,
llama-3.1-8b,item_29,2,301,
llama-3.1-8b,item_30,3,290,
llama-3.1-8b,item_31,2,305,
llama-3.1-8b,item_32,3,324,
llama-3.1-8b,item_33,3,296,
llama-3.1-8b,item_34,4,256,
llama-3.1-8b,item_35,3,316,2.0
llama-3.1-8b,item_36,5,325,
llama-3.1-8b,item_37,4,289,
llama-3.1-8b,item_38,3,294,
llama-3.1-8b,item_39,3,320,
llama-3.1-8b,item_40,4,325,
llama-3.1-8b,item_41,3,294,
llama-3.1-8b,item_42,3,322,2.0
llama-3.1-8b,item_43,4,309,3.0
llama-3.1-8b,item_44,3,268,3.0
llama-3.1-8b,item_45,3,309,
llama-3.1-8b,item_46,4,307,4.0
llama-3.1-8b,item_47,5,292,
llama-3.1-8b,item_48,3,293,3.0
llama-3.1-8b,item_49,4,270,
llama-3.1-8b,item_50,3,269,
llama-3.1-8b,item_51,3,312,3.0
llama-3.1-8b,item_52,3,279,
llama-3.1-8b,item_53,3,304,
llama-3.1-8b,item_54,4,335,3.0
llama-3.1-8b,item_55,3,331,
llama-3.1-8b,item_56,3,339,
llama-3.1-8b,item_57,4,308,3.0
llama-3.1-8b,item_58,4,284,
llama-3.1-8b,item_59,3,305,
llama-3.1-8b,item_60,4,373,
llama-3.1-8b,item_61,4,273,
llama-3.1-8b,item_62,4,322,
llama-3.1-8b,item_63,4,270,
llama-3.1-8b,item_64,3,293,
llama-3.1-8b,item_65,2,324,2.0
llama-3.1-8b,item_66,3,292,
llama-3.1-8b,item_67,3,262,
llama-3.1-8b,item_68,3,284,
llama-3.1-8b,item_69,4,313,
llama-3.1-8b,item_70,2,329,
llama-3.1-8b,item_71,3,306,
llama-3.1-8b,item_72,3,317,
llama-3.1-8b,item_73,4,321,
llama-3.1-8b,item_74,4,273,
llama-3.1-8b,item_75,4,290,4.0
llama-3.1-8b,item_76,4,311,
llama-3.1-8b,item_77,4,313,
llama-3.1-8b,item_78,3,283,
llama-3.1-8b,item_79,3,303,3.0
llama-3.1-8b,item_80,4,355,
llama-3.1-8b,item_81,3,261,
llama-3.1-8b,item_82,5,307,
llama-3.1-8b,item_83,4,315,3.0
llama-3.1-8b,item_84,2,246,
llama-3.1-8b,item_85,4,276,
llama-3.1-8b,item_86,3,321,
llama-3.1-8b,item_87,4,324,
llama-3.1-8b,item_88,3,257,
llama-3.1-8b,item_89,2,232,
llama-3.1-8b,item_90,4,304,
llama-3.1-8b,item_91,3,287,
llama-3.1-8b,item_92,3,329,
llama-3.1-8b,item_93,3,309,
llama-3.1-8b,item_94,5,255,
llama-3.1-8b,item_95,4,293,2.0
llama-3.1-8b,item_96,2,295,
llama-3.1-8b,item_97,3,303,
llama-3.1-8b,item_98,4,297,3.0
llama-3.1-8b,item_99,5,327,
llama-3.1-8b,item_100,3,277,
llama-3.1-8b,item_101,5,289,4.0
llama-3.1-8b,item_102,2,287,
llama-3.1-8b,item_103,3,264,2.0
llama-3.1-8b,item_104,4,303,
llama-3.1-8b,item_105,3,349,1.0
llama-3.1-8b,item_106,3,277,3.0
llama-3.1-8b,item_107,3,277,
llama-3.1-8b,item_108,3,326,
llama-3.1-8b,item_109,2,266,
llama-3.1-8b,item_110,3,292,
llama-3.1-8b,item_111,4,308,
llama-3.1-8b,item_112,4,318,
llama-3.1-8b,item_113,3,288,
llama-3.1-8b,item_114,2,292,2.0
llama-3.1-8b,item_115,3,280,
llama-3.1-8b,item_116,3,305,
llama-3.1-8b,item_117,3,288,
llama-3.1-8b,item_118,4,285,2.0
llama-3.1-8b,item_119,2,275,2.0
llama-3.1-8b,item_120,4,302,
llama-3.1-8b,item_121,3,240,
llama-3.1-8b,item_122,4,325,
llama-3.1-8b,item_123,4,324,
llama-3.1-8b,item_124,5,309,
llama-3.1-8b,item_125,3,258,
llama-3.1-8b,item_126,4,310,
llama-3.1-8b,item_127,4,297,
llama-3.1-8b,item_128,3,326,
llama-3.1-8b,item_129,4,368,
llama-3.1-8b,item_130,4,313,3.0
llama-3.1-8b,item_131,4,271,
llama-3.1-8b,item_132,3,316,
llama-3.1-8b,item_133,4,296,
llama-3.1-8b,item_134,4,326,
llama-3.1-8b,item_135,4,293,
llama-3.1-8b,item_136,3,280,
llama-3.1-8b,item_137,3,333,
llama-3.1-8b,item_138,3,279,
llama-3.1-8b,item_139,4,293,
llama-3.1-8b,item_140,4,301,3.0
llama-3.1-8b,item_141,3,287,
llama-3.1-8b,item_142,5,282,
llama-3.1-8b,item_143,3,330,
llama-3.1-8b,item_144,3,274,
llama-3.1-8b,item_145,4,293,2.0
llama-3.1-8b,item_146,4,290,
llama-3.1-8b,item_147,3,310,2.0
llama-3.1-8b,item_148,4,308,
llama-3.1-8b,item_149,4,299,
llama-3.1-8b,item_150,5,262,
llama-3.1-8b,item_151,4,339,
llama-3.1-8b,item_152,3,320,
llama-3.1-8b,item_153,3,287,
llama-3.1-8b,item_154,3,341,
llama-3.1-8b,item_155,3,330,
llama-3.1-8b,item_156,4,280,
llama-3.1-8b,item_157,3,278,
llama-3.1-8b,item_158,2,295,
llama-3.1-8b,item_159,3,281,
llama-3.1-8b,item_160,4,313,3.0
llama-3.1-8b,item_161,4,354,
llama-3.1-8b,item_162,5,311,
llama-3.1-8b,item_163,5,362,
llama-3.1-8b,item_164,3,294,
llama-3.1-8b,item_165,3,326,
llama-3.1-8b,item_166,4,349,3.0
llama-3.1-8b,item_167,4,358,3.0
llama-3.1-8b,item_168,4,296,
llama-3.1-8b,item_169,3,256,
llama-3.1-8b,item_170,3,307,
llama-3.1-8b,item_171,3,278,
llama-3.1-8b,item_172,4,295,3.0
llama-3.1-8b,item_173,3,269,
llama-3.1-8b,item_174,3,294,3.0
llama-3.1-8b,item_175,4,284,
llama-3.1-8b,item_176,4,260,3.0
llama-3.1-8b,item_177,2,254,2.0
llama-3.1-8b,item_178,4,332,
llama-3.1-8b,item_179,3,340,
llama-3.1-8b,item_180,4,312,
llama-3.1-8b,item_181,4,279,
llama-3.1-8b,item_182,3,285,
llama-3.1-8b,item_183,2,280,
llama-3.1-8b,item_184,3,302,
llama-3.1-8b,item_185,3,318,
llama-3.1-8b,item_186,5,289,
llama-3.1-8b,item_187,4,279,
llama-3.1-8b,item_188,3,282,
llama-3.1-8b,item_189,4,261,
llama-3.1-8b,item_190,3,306,
llama-3.1-8b,item_191,3,344,
llama-3.1-8b,item_192,5,263,
llama-3.1-8b,item_193,3,318,
llama-3.1-8b,item_194,4,335,4.0
llama-3.1-8b,item_195,5,293,
llama-3.1-8b,item_196,5,310,
llama-3.1-8b,item_197,4,313,
llama-3.1-8b,item_198,4,311,
llama-3.1-8b,item_199,5,297,3.0
llama-3.1-8b,item_200,4,293,
llama-2-13b,item_1,2,122,
llama-2-13b,item_2,3,122,
llama-2-13b,item_3,3,191,
llama-2-13b,item_4,2,127,3.0
llama-2-13b,item_5,3,127,
llama-2-13b,item_6,3,143,
llama-2-13b,item_7,4,235,
llama-2-13b,item_8,3,137,
llama-2-13b,item_9,4,166,
llama-2-13b,item_10,2,111,
llama-2-13b,item_11,3,93,
llama-2-13b,item_12,4,146,
llama-2-13b,item_13,2,155,
llama-2-13b,item_14,3,141,
llama-2-13b,item_15,2,135,
llama-2-13b,item_16,2,128,
llama-2-13b,item_17,4,146,4.0
llama-2-13b,item_18,3,109,
llama-2-13b,item_19,2,131,1.0
llama-2-13b,item_20,3,152,2.0
llama-2-13b,item_21,3,148,
llama-2-13b,item_22,3,146,
llama-2-13b,item_23,2,76,
llama-2-13b,item_24,4,138,
llama-2-13b,item_25,4,187,3.0
llama-2-13b,item_26,3,139,
llama-2-13b,item_27,3,111,
llama-2-13b,item_28,3,149,
llama-2-13b,item_29,4,150,
llama-2-13b,item_30,2,120,
llama-2-13b,item_31,3,130,
llama-2-13b,item_32,5,164,
llama-2-13b,item_33,3,152,
llama-2-13b,item_34,2,168,
llama-2-13b,item_35,3,151,2.0
llama-2-13b,item_36,3,157,
llama-2-13b,item_37,2,169,
llama-2-13b,item_38,3,120,
llama-2-13b,item_39,4,164,
llama-2-13b,item_40,3,116,
llama-2-13b,item_41,2,127,
llama-2-13b,item_42,3,149,3.0
llama-2-13b,item_43,3,111,3.0
llama-2-13b,item_44,3,137,3.0
llama-2-13b,item_45,3,127,
llama-2-13b,item_46,4,134,5.0
llama-2-13b,item_47,3,135,
llama-2-13b,item_48,3,105,3.0
llama-2-13b,item_49,5,169,
llama-2-13b,item_50,4,145,
llama-2-13b,item_51,3,130,3.0
llama-2-13b,item_52,3,100,
llama-2-13b,item_53,3,177,
llama-2-13b,item_54,3,156,3.0
llama-2-13b,item_55,4,140,
llama-2-13b,item_56,3,132,
llama-2-13b,item_57,3,142,4.0
llama-2-13b,item_58,2,125,
llama-2-13b,item_59,4,152,
llama-2-13b,item_60,2,178,
llama-2-13b,item_61,3,152,
llama-2-13b,item_62,3,130,
llama-2-13b,item_63,3,145,
llama-2-13b,item_64,2,176,
llama-2-13b,item_65,4,156,3.0
llama-2-13b,item_66,2,155,
llama-2-13b,item_67,2,128,
llama-2-13b,item_68,3,136,
llama-2-13b,item_69,3,166,
llama-2-13b,item_70,3,153,
llama-2-13b,item_71,4,185,
llama-2-13b,item_72,3,128,
llama-2-13b,item_73,1,134,
llama-2-13b,item_74,3,139,
llama-2-13b,item_75,4,173,4.0
llama-2-13b,item_76,2,173,
llama-2-13b,item_77,3,103,
llama-2-13b,item_78,3,123,
llama-2-13b,item_79,4,133,4.0
llama-2-13b,item_80,3,153,
llama-2-13b,item_81,3,125,
llama-2-13b,item_82,3,103,
llama-2-13b,item_83,3,130,4.0
llama-2-13b,item_84,4,178,
llama-2-13b,item_85,4,136,
llama-2-13b,item_86,3,117,
llama-2-13b,item_87,4,129,
llama-2-13b,item_88,4,163,
llama-2-13b,item_89,3,84,
llama-2-13b,item_90,3,127,
llama-2-13b,item_91,3,96,
llama-2-13b,item_92,3,138,
llama-2-13b,item_93,3,185,
llama-2-13b,item_94,3,125,
llama-2-13b,item_95,2,131,3.0
llama-2-13b,item_96,2,142,
llama-2-13b,item_97,3,98,
llama-2-13b,item_98,4,112,4.0
llama-2-13b,item_99,3,147,
llama-2-13b,item_100,3,106,
llama-2-13b,item_101,2,140,3.0
llama-2-13b,item_102,3,116,
llama-2-13b,item_103,3,176,2.0
llama-2-13b,item_104,4,142,
llama-2-13b,item_105,3,126,3.0
llama-2-13b,item_106,4,194,3.0
llama-2-13b,item_107,3,198,
llama-2-13b,item_108,2,163,
llama-2-13b,item_109,2,154,
llama-2-13b,item_110,3,113,
llama-2-13b,item_111,3,163,
llama-2-13b,item_112,2,136,
llama-2-13b,item_113,2,152,
llama-2-13b,item_114,2,142,3.0
llama-2-13b,item_115,2,131,
llama-2-13b,item_116,2,137,
llama-2-13b,item_117,2,161,
llama-2-13b,item_118,3,197,3.0
llama-2-13b,item_119,2,156,2.0
llama-2-13b,item_120,3,156,
llama-2-13b,item_121,3,87,
llama-2-13b,item_122,4,129,
llama-2-13b,item_123,4,175,
llama-2-13b,item_124,4,122,
llama-2-13b,item_125,2,179,
llama-2-13b,item_126,3,149,
llama-2-13b,item_127,3,171,
llama-2-13b,item_128,3,144,
llama-2-13b,item_129,4,124,
llama-2-13b,item_130,3,135,3.0
llama-2-13b,item_131,4,194,
llama-2-13b,item_132,3,141,
llama-2-13b,item_133,3,128,
llama-2-13b,item_134,3,75,
llama-2-13b,item_135,3,147,
llama-2-13b,item_136,4,135,
llama-2-13b,item_137,3,167,
llama-2-13b,item_138,2,153,
llama-2-13b,item_139,3,160,
llama-2-13b,item_140,4,140,4.0
llama-2-13b,item_141,3,167,
llama-2-13b,item_142,3,159,
llama-2-13b,item_143,3,173,
llama-2-13b,item_144,2,115,
llama-2-13b,item_145,3,162,3.0
llama-2-13b,item_146,4,145,
llama-2-13b,item_147,3,110,3.0
llama-2-13b,item_148,4,132,
llama-2-13b,item_149,3,155,
llama-2-13b,item_150,2,140,
llama-2-13b,item_151,3,121,
llama-2-13b,item_152,3,156,
llama-2-13b,item_153,3,183,
llama-2-13b,item_154,3,171,
llama-2-13b,item_155,4,90,
llama-2-13b,item_156,4,133,
llama-2-13b,item_157,4,168,
llama-2-13b,item_158,3,197,
llama-2-13b,item_159,1,129,
llama-2-13b,item_160,3,143,4.0
llama-2-13b,item_161,3,151,
llama-2-13b,item_162,3,120,
llama-2-13b,item_163,3,127,
llama-2-13b,item_164,3,112,
llama-2-13b,item_165,4,155,
llama-2-13b,item_166,2,135,3.0
llama-2-13b,item_167,2,125,2.0
llama-2-13b,item_168,4,160,
llama-2-13b,item_169,2,172,
llama-2-13b,item_170,2,154,
llama-2-13b,item_171,2,158,
llama-2-13b,item_172,3,137,4.0
llama-2-13b,item_173,3,159,
llama-2-13b,item_174,2,143,2.0
llama-2-13b,item_175,3,120,
llama-2-13b,item_176,2,125,2.0
llama-2-13b,item_177,2,119,3.0
llama-2-13b,item_178,4,162,
llama-2-13b,item_179,4,173,
llama-2-13b,item_180,3,124,
llama-2-13b,item_181,3,133,
llama-2-13b,item_182,3,142,
llama-2-13b,item_183,2,121,
llama-2-13b,item_184,3,153,
llama-2-13b,item_185,2,126,
llama-2-13b,item_186,4,183,
llama-2-13b,item_187,3,160,
llama-2-13b,item_188,4,194,
llama-2-13b,item_189,3,166,
llama-2-13b,item_190,2,151,
llama-2-13b,item_191,4,127,
llama-2-13b,item_192,4,143,
llama-2-13b,item_193,3,139,
llama-2-13b,item_194,3,210,3.0
llama-2-13b,item_195,4,173,
llama-2-13b,item_196,3,139,
llama-2-13b,item_197,3,176,
llama-2-13b,item_198,4,157,
llama-2-13b,item_199,3,182,2.0
llama-2-13b,item_200,3,127,
gpt-oss-20b,item_1,2,116,
gpt-oss-20b,item_2,2,116,
gpt-oss-20b,item_3,2,157,
gpt-oss-20b,item_4,4,153,4.0
gpt-oss-20b,item_5,3,171,
gpt-oss-20b,item_6,3,122,
gpt-oss-20b,item_7,3,177,
gpt-oss-20b,item_8,3,158,
gpt-oss-20b,item_9,3,146,
gpt-oss-20b,item_10,3,130,
gpt-oss-20b,item_11,3,136,
gpt-oss-20b,item_12,3,168,
gpt-oss-20b,item_13,3,129,
gpt-oss-20b,item_14,3,129,
gpt-oss-20b,item_15,3,152,
gpt-oss-20b,item_16,2,133,
gpt-oss-20b,item_17,4,147,4.0
gpt-oss-20b,item_18,3,171,
gpt-oss-20b,item_19,3,153,2.0
gpt-oss-20b,item_20,3,136,3.0
gpt-oss-20b,item_21,3,132,
gpt-oss-20b,item_22,3,147,
gpt-oss-20b,item_23,3,153,
gpt-oss-20b,item_24,3,165,
gpt-oss-20b,item_25,3,191,3.0
gpt-oss-20b,item_26,3,156,
gpt-oss-20b,item_27,3,173,
gpt-oss-20b,item_28,3,163,
gpt-oss-20b,item_29,2,155,
gpt-oss-20b,item_30,3,165,
gpt-oss-20b,item_31,4,153,
gpt-oss-20b,item_32,3,157,
gpt-oss-20b,item_33,2,146,
gpt-oss-20b,item_34,3,148,
gpt-oss-20b,item_35,4,115,3.0
gpt-oss-20b,item_36,4,186,
gpt-oss-20b,item_37,3,157,
gpt-oss-20b,item_38,3,114,
gpt-oss-20b,item_39,2,100,
gpt-oss-20b,item_40,4,129,
gpt-oss-20b,item_41,2,123,
gpt-oss-20b,item_42,4,147,3.0
gpt-oss-20b,item_43,3,168,3.0
gpt-oss-20b,item_44,4,126,3.0
gpt-oss-20b,item_45,2,116,
gpt-oss-20b,item_46,4,76,4.0
gpt-oss-20b,item_47,4,157,
gpt-oss-20b,item_48,3,194,3.0
gpt-oss-20b,item_49,4,186,
gpt-oss-20b,item_50,3,169,
gpt-oss-20b,item_51,3,117,3.0
gpt-oss-20b,item_52,3,121,
gpt-oss-20b,item_53,3,133,
gpt-oss-20b,item_54,3,80,4.0
gpt-oss-20b,item_55,4,152,
gpt-oss-20b,item_56,4,158,
gpt-oss-20b,item_57,4,143,4.0
gpt-oss-20b,item_58,2,137,
gpt-oss-20b,item_59,3,145,
gpt-oss-20b,item_60,2,158,
gpt-oss-20b,item_61,3,138,
gpt-oss-20b,item_62,3,115,
gpt-oss-20b,item_63,2,113,
gpt-oss-20b,item_64,3,147,
gpt-oss-20b,item_65,2,142,2.0
gpt-oss-20b,item_66,3,147,
gpt-oss-20b,item_67,3,189,
gpt-oss-20b,item_68,2,138,
gpt-oss-20b,item_69,3,105,
gpt-oss-20b,item_70,3,107,
gpt-oss-20b,item_71,4,154,
gpt-oss-20b,item_72,2,186,
gpt-oss-20b,item_73,3,135,
gpt-oss-20b,item_74,3,114,
gpt-oss-20b,item_75,3,176,3.0
gpt-oss-20b,item_76,4,185,
gpt-oss-20b,item_77,4,122,
gpt-oss-20b,item_78,2,109,
gpt-oss-20b,item_79,3,147,3.0
gpt-oss-20b,item_80,4,152,
gpt-oss-20b,item_81,3,103,
gpt-oss-20b,item_82,5,181,
gpt-oss-20b,item_83,4,136,3.0
gpt-oss-20b,item_84,3,131,
gpt-oss-20b,item_85,3,148,
gpt-oss-20b,item_86,3,141,
gpt-oss-20b,item_87,4,144,
gpt-oss-20b,item_88,4,167,
gpt-oss-20b,item_89,4,140,
gpt-oss-20b,item_90,4,157,
gpt-oss-20b,item_91,3,136,
gpt-oss-20b,item_92,3,148,
gpt-oss-20b,item_93,3,119,
gpt-oss-20b,item_94,3,129,
gpt-oss-20b,item_95,3,156,3.0
gpt-oss-20b,item_96,3,138,
gpt-oss-20b,item_97,3,126,
gpt-oss-20b,item_98,4,112,4.0
gpt-oss-20b,item_99,2,107,
gpt-oss-20b,item_100,3,168,
gpt-oss-20b,item_101,2,96,2.0
gpt-oss-20b,item_102,3,175,
gpt-oss-20b,item_103,3,219,3.0
gpt-oss-20b,item_104,4,170,
gpt-oss-20b,item_105,2,156,3.0
gpt-oss-20b,item_106,4,180,3.0
gpt-oss-20b,item_107,3,128,
gpt-oss-20b,item_108,3,158,
gpt-oss-20b,item_109,3,142,
gpt-oss-20b,item_110,3,105,
gpt-oss-20b,item_111,3,157,
gpt-oss-20b,item_112,4,111,
gpt-oss-20b,item_113,2,159,
gpt-oss-20b,item_114,3,156,3.0
gpt-oss-20b,item_115,3,227,
gpt-oss-20b,item_116,3,124,
gpt-oss-20b,item_117,3,117,
gpt-oss-20b,item_118,4,196,3.0
gpt-oss-20b,item_119,3,158,2.0
gpt-oss-20b,item_120,3,187,
gpt-oss-20b,item_121,4,138,
gpt-oss-20b,item_122,4,175,
gpt-oss-20b,item_123,3,162,
gpt-oss-20b,item_124,4,146,
gpt-oss-20b,item_125,4,110,
gpt-oss-20b,item_126,2,117,
gpt-oss-20b,item_127,3,151,
gpt-oss-20b,item_128,3,147,
gpt-oss-20b,item_129,3,145,
gpt-oss-20b,item_130,3,138,3.0
gpt-oss-20b,item_131,2,133,
gpt-oss-20b,item_132,3,177,
gpt-oss-20b,item_133,3,107,
gpt-oss-20b,item_134,4,151,
gpt-oss-20b,item_135,3,152,
gpt-oss-20b,item_136,4,138,
gpt-oss-20b,item_137,3,145,
gpt-oss-20b,item_138,3,144,
gpt-oss-20b,item_139,4,192,
gpt-oss-20b,item_140,4,189,4.0
gpt-oss-20b,item_141,2,140,
gpt-oss-20b,item_142,3,155,
