model,item,score
granite-4.1-8b,Age_00844,1.0
granite-4.1-8b,Age_00860,1.0
granite-4.1-8b,Age_00868,1.0
granite-4.1-8b,Age_00883,1.0
granite-4.1-8b,Age_00888,1.0
granite-4.1-8b,Age_00911,1.0
granite-4.1-8b,Age_00913,1.0
granite-4.1-8b,Age_00937,1.0
granite-4.1-8b,Age_00951,1.0
granite-4.1-8b,Age_00970,1.0
granite-4.1-8b,Age_00986,0.0
granite-4.1-8b,Age_00988,0.0
granite-4.1-8b,Age_00994,0.0
granite-4.1-8b,Age_00997,1.0
granite-4.1-8b,Age_00999,1.0
gpt-4o-mini,Age_00002,0.0
gpt-4o-mini,Age_00005,1.0
gpt-4o-mini,Age_00007,1.0
gpt-4o-mini,Age_00015,1.0
gpt-4o-mini,Age_00020,0.0
gpt-4o-mini,Age_00026,1.0
gpt-4o-mini,Age_00031,1.0
gpt-4o-mini,Age_00037,1.0
gpt-4o-mini,Age_00048,0.0
gpt-4o-mini,Age_00068,0.0
gpt-4o-mini,Age_00071,1.0
gpt-4o-mini,Age_00075,1.0
gpt-4o-mini,Age_00083,0.0
gpt-4o-mini,Age_00117,1.0
gpt-4o-mini,Age_00130,0.0
gpt-4o-mini,Age_00159,1.0
gpt-4o-mini,Age_00163,1.0
gpt-4o-mini,Age_00225,1.0
gpt-4o-mini,Age_00243,1.0
gpt-4o-mini,Age_00244,0.0
gpt-4o-mini,Age_00250,0.0
gpt-4o-mini,Age_00255,1.0
gpt-4o-mini,Age_00262,0.0
gpt-4o-mini,Age_00278,0.0
gpt-4o-mini,Age_00281,1.0
gpt-4o-mini,Age_00301,1.0
gpt-4o-mini,Age_00316,0.0
gpt-4o-mini,Age_00325,1.0
gpt-4o-mini,Age_00333,1.0
gpt-4o-mini,Age_00350,0.0
gpt-4o-mini,Age_00363,1.0
gpt-4o-mini,Age_00364,0.0
gpt-4o-mini,Age_00365,1.0
gpt-4o-mini,Age_00374,0.0
gpt-4o-mini,Age_00376,0.0
gpt-4o-mini,Age_00379,1.0
gpt-4o-mini,Age_00387,1.0
gpt-4o-mini,Age_00397,1.0
gpt-4o-mini,Age_00411,1.0
gpt-4o-mini,Age_00439,1.0
gpt-4o-mini,Age_00451,1.0
gpt-4o-mini,Age_00459,0.0
gpt-4o-mini,Age_00461,1.0
gpt-4o-mini,Age_00473,1.0
gpt-4o-mini,Age_00497,1.0
gpt-4o-mini,Age_00499,0.0
gpt-4o-mini,Age_00506,1.0
gpt-4o-mini,Age_00509,1.0
gpt-4o-mini,Age_00513,1.0
gpt-4o-mini,Age_00514,1.0
gpt-4o-mini,Age_00520,1.0
gpt-4o-mini,Age_00554,1.0
gpt-4o-mini,Age_00559,1.0
gpt-4o-mini,Age_00561,1.0
gpt-4o-mini,Age_00574,1.0
gpt-4o-mini,Age_00579,1.0
gpt-4o-mini,Age_00584,1.0
gpt-4o-mini,Age_00585,1.0
gpt-4o-mini,Age_00591,1.0
gpt-4o-mini,Age_00613,1.0
gpt-4o-mini,Age_00619,1.0
gpt-4o-mini,Age_00620,1.0
gpt-4o-mini,Age_00624,1.0
gpt-4o-mini,Age_00634,1.0
gpt-4o-mini,Age_00656,1.0
gpt-4o-mini,Age_00659,1.0
gpt-4o-mini,Age_00662,0.0
gpt-4o-mini,Age_00668,0.0
gpt-4o-mini,Age_00677,1.0
gpt-4o-mini,Age_00678,0.0
gpt-4o-mini,Age_00698,1.0
gpt-4o-mini,Age_00700,1.0
gpt-4o-mini,Age_00708,1.0
gpt-4o-mini,Age_00710,1.0
gpt-4o-mini,Age_00726,1.0
gpt-4o-mini,Age_00740,1.0
gpt-4o-mini,Age_00752,1.0
gpt-4o-mini,Age_00766,1.0
gpt-4o-mini,Age_00768,1.0
gpt-4o-mini,Age_00788,1.0
gpt-4o-mini,Age_00793,1.0
gpt-4o-mini,Age_00806,1.0
gpt-4o-mini,Age_00807,1.0
gpt-4o-mini,Age_00819,1.0
gpt-4o-mini,Age_00832,1.0
gpt-4o-mini,Age_00844,1.0
gpt-4o-mini,Age_00860,1.0
gpt-4o-mini,Age_00868,1.0
gpt-4o-mini,Age_00883,1.0
gpt-4o-mini,Age_00888,1.0
gpt-4o-mini,Age_00911,1.0
gpt-4o-mini,Age_00913,1.0
gpt-4o-mini,Age_00937,1.0
gpt-4o-mini,Age_00951,1.0
gpt-4o-mini,Age_00970,1.0
gpt-4o-mini,Age_00986,0.0
gpt-4o-mini,Age_00988,1.0
gpt-4o-mini,Age_00994,0.0
gpt-4o-mini,Age_00997,1.0
gpt-4o-mini,Age_00999,1.0
